"sentence","noun_phrase","grammatical","corrected"
"Research in bilingualism is tightly related to the concept of cognitive control - the ability to choose the cues appropriate to the environment and suppress those that are not .","that","yes","that"
"It is therefore expected that bilingualism leads to better cognitive control as compared to monolingualism .","It","yes","It"
"It is therefore expected that bilingualism leads to better cognitive control as compared to monolingualism .","bilingualism","yes","bilingualism"
"It is therefore expected that bilingualism leads to better cognitive control as compared to monolingualism .","better cognitive control","yes","better cognitive control"
"It is therefore expected that bilingualism leads to better cognitive control as compared to monolingualism .","monolingualism","yes","monolingualism"
"Cognitive control is often being operationalised vie the so-called cognitive control tasks that are expected to give a measure of it .","Cognitive control","yes","Cognitive control"
"Cognitive control is often being operationalised vie the so-called cognitive control tasks that are expected to give a measure of it .","the so-called cognitive control tasks","yes","the so-called cognitive control tasks"
"Cognitive control is often being operationalised vie the so-called cognitive control tasks that are expected to give a measure of it .","that","yes","that"
"Cognitive control is often being operationalised vie the so-called cognitive control tasks that are expected to give a measure of it .","a measure","yes","a measure"
"Cognitive control is often being operationalised vie the so-called cognitive control tasks that are expected to give a measure of it .","it","yes","it"
"The meaning of such results can not be established due to methodological flaws .","The meaning","yes","The meaning"
"The meaning of such results can not be established due to methodological flaws .","such results","yes","such results"
"The meaning of such results can not be established due to methodological flaws .","methodological flaws","yes","methodological flaws"
"The methodology is a replication ( with an important extension ) of Bosma & Pablos .","The methodology","yes","The methodology"
"The methodology is a replication ( with an important extension ) of Bosma & Pablos .","Bosma","yes","Bosma"
"The methodology is a replication ( with an important extension ) of Bosma & Pablos .","a replication","yes","a replication"
"The methodology is a replication ( with an important extension ) of Bosma & Pablos .","an important extension","yes","an important extension"
"The methodology is a replication ( with an important extension ) of Bosma & Pablos .","Bosma","yes","Bosma"
"The methodology is a replication ( with an important extension ) of Bosma & Pablos .","Pablos","yes","Pablos"
"The proposal tries to be critical of the literature and methodology it makes use of .","The proposal","yes","The proposal"
"The proposal tries to be critical of the literature and methodology it makes use of .","the literature","yes","the literature"
"The proposal tries to be critical of the literature and methodology it makes use of .","methodology","yes","methodology"
"The proposal tries to be critical of the literature and methodology it makes use of .","it","yes","it"
"The proposal tries to be critical of the literature and methodology it makes use of .","use","yes","use"
"Those will also constitute the basis for the current proposal .","Those","yes","Those"
"Those will also constitute the basis for the current proposal .","the basis","yes","the basis"
"Those will also constitute the basis for the current proposal .","the current proposal","yes","the current proposal"
"This is discussed further in section 4 .","This","yes","This"
"This is discussed further in section 4 .","section","yes","section"
"Flanker task is a type of CC task during which a participant is being presented with row of arrows .","Flanker task","no","The Flanker task"
"Flanker task is a type of CC task during which a participant is being presented with row of arrows .","Flanker task","yes","Flanker task"
"Flanker task is a type of CC task during which a participant is being presented with row of arrows .","a type","yes","a type"
"Flanker task is a type of CC task during which a participant is being presented with row of arrows .","CC task","yes","CC task"
"Flanker task is a type of CC task during which a participant is being presented with row of arrows .","which","yes","which"
"Flanker task is a type of CC task during which a participant is being presented with row of arrows .","a participant","yes","a participant"
"Flanker task is a type of CC task during which a participant is being presented with row of arrows .","row","no","a row"
"Flanker task is a type of CC task during which a participant is being presented with row of arrows .","arrows","yes","arrows"
"` the participant should indicate the direction of the middle arrow .","the participant","yes","the participant"
"` the participant should indicate the direction of the middle arrow .","the direction","yes","the direction"
"` the participant should indicate the direction of the middle arrow .","the middle arrow","yes","the middle arrow"
"The colour of the square alters as well as the location of it .","The clolur","yes","The clolur"
"The colour of the square alters as well as the location of it .","the square alters","yes","the square alters"
"The colour of the square alters as well as the location of it .","the location","yes","the location"
"The colour of the square alters as well as the location of it .","it","yes","it"
"The participant has to inhibit the information about location and just judge the colour of the square by pressing the corresponding button ( either left or right ) .","The participant","yes","The participant"
"The participant has to inhibit the information about location and just judge the colour of the square by pressing the corresponding button ( either left or right ) .","the information","yes","the information"
"The participant has to inhibit the information about location and just judge the colour of the square by pressing the corresponding button ( either left or right ) .","location","no","the location"
"The participant has to inhibit the information about location and just judge the colour of the square by pressing the corresponding button ( either left or right ) .","the colour","yes","the colour"
"The participant has to inhibit the information about location and just judge the colour of the square by pressing the corresponding button ( either left or right ) .","the square","yes","the square"
"The participant has to inhibit the information about location and just judge the colour of the square by pressing the corresponding button ( either left or right ) .","the corresponding button","yes","the corresponding button"
"Code-switching refers to the ability to easily switch from one language to another within the context of a discourse or even a sentence .","the ability","yes","the ability"
"Code-switching refers to the ability to easily switch from one language to another within the context of a discourse or even a sentence .","Code-switching","yes","Code-switching"
"Code-switching refers to the ability to easily switch from one language to another within the context of a discourse or even a sentence .","one language","yes","one language"
"Code-switching refers to the ability to easily switch from one language to another within the context of a discourse or even a sentence .","another","yes","another"
"Code-switching refers to the ability to easily switch from one language to another within the context of a discourse or even a sentence .","the context","yes","the context"
"Code-switching refers to the ability to easily switch from one language to another within the context of a discourse or even a sentence .","a discourse","yes","a discourse"
"Code-switching refers to the ability to easily switch from one language to another within the context of a discourse or even a sentence .","even a sentence","yes","even a sentence"
"Intra-sentential switches happen within the sentences and inter-sentential switches occur between the sentences .","Intra-sentential switches","yes","Intra-sentential switches"
"Intra-sentential switches happen within the sentences and inter-sentential switches occur between the sentences .","inter-sentential switches","yes","inter-sentential switches"
"Intra-sentential switches happen within the sentences and inter-sentential switches occur between the sentences .","the sentences","yes","the sentences"
"Intra-sentential switches happen within the sentences and inter-sentential switches occur between the sentences .","inter-sentential switches","yes","inter-sentential switches"
"Code-switching is quite often used within the studies of bilingualism since it indicates the activation of both languages in the brain and the ability of the human brain to control the level of activation of both .","Code-switching","yes","Code-switching"
"Code-switching is quite often used within the studies of bilingualism since it indicates the activation of both languages in the brain and the ability of the human brain to control the level of activation of both .","the studies","yes","the studies"
"Code-switching is quite often used within the studies of bilingualism since it indicates the activation of both languages in the brain and the ability of the human brain to control the level of activation of both .","bilingualism","yes","bilingualism"
"Code-switching is quite often used within the studies of bilingualism since it indicates the activation of both languages in the brain and the ability of the human brain to control the level of activation of both .","it","yes","it"
"Code-switching is quite often used within the studies of bilingualism since it indicates the activation of both languages in the brain and the ability of the human brain to control the level of activation of both .","the activation","yes","the activation"
"Code-switching is quite often used within the studies of bilingualism since it indicates the activation of both languages in the brain and the ability of the human brain to control the level of activation of both .","both languages","yes","both languages"
"Code-switching is quite often used within the studies of bilingualism since it indicates the activation of both languages in the brain and the ability of the human brain to control the level of activation of both .","the brain","yes","the brain"
"Code-switching is quite often used within the studies of bilingualism since it indicates the activation of both languages in the brain and the ability of the human brain to control the level of activation of both .","the ability","yes","the ability"
"Code-switching is quite often used within the studies of bilingualism since it indicates the activation of both languages in the brain and the ability of the human brain to control the level of activation of both .","the human brain","yes","the human brain"
"Code-switching is quite often used within the studies of bilingualism since it indicates the activation of both languages in the brain and the ability of the human brain to control the level of activation of both .","the level","yes","the level"
"Code-switching is quite often used within the studies of bilingualism since it indicates the activation of both languages in the brain and the ability of the human brain to control the level of activation of both .","activation","yes","activation"
"Code-switching is quite often used within the studies of bilingualism since it indicates the activation of both languages in the brain and the ability of the human brain to control the level of activation of both .","both","yes","both"
"Code-switching is in place during both production and comprehension .","Code-switching","yes","Code-switching"
"Code-switching is in place during both production and comprehension .","Code-switching","yes","Code-switching"
"Code-switching is in place during both production and comprehension .","in place","yes","in place"
"Code-switching is in place during both production and comprehension .","both production","yes","both production"
"Code-switching is in place during both production and comprehension .","comprehension","yes","comprehension"
"Meuter & Allport showed that code-switching in production requires some effort - the switching cost .","Meuter","yes","Meuter"
"Meuter & Allport showed that code-switching in production requires some effort - the switching cost .","Meuter","yes","Meuter"
"Meuter & Allport showed that code-switching in production requires some effort - the switching cost .","code-switching","yes","code-switching"
"Meuter & Allport showed that code-switching in production requires some effort - the switching cost .","Allport","yes","Allport"
"Meuter & Allport showed that code-switching in production requires some effort - the switching cost .","code-switching","yes","code-switching"
"Meuter & Allport showed that code-switching in production requires some effort - the switching cost .","production","yes","production"
"Meuter & Allport showed that code-switching in production requires some effort - the switching cost .","some effort","yes","some effort"
"Meuter & Allport showed that code-switching in production requires some effort - the switching cost .","the switching cost","yes","the switching cost"
"Production of a switched word takes longer than the production of a non-switched one .","Production","yes","Production"
"Production of a switched word takes longer than the production of a non-switched one .","Production","yes","Production"
"Production of a switched word takes longer than the production of a non-switched one .","a switched word","yes","a switched word"
"Production of a switched word takes longer than the production of a non-switched one .","the production","yes","the production"
"Production of a switched word takes longer than the production of a non-switched one .","a non-switched one","yes","a non-switched one"
"This is where the inhibitory control takes place : code-switching happens because of inhibition of a non-target language .","This","yes","This"
"This is where the inhibitory control takes place : code-switching happens because of inhibition of a non-target language .","the inhibitory control","yes","the inhibitory control"
"This is where the inhibitory control takes place : code-switching happens because of inhibition of a non-target language .","place","yes","place"
"This is where the inhibitory control takes place : code-switching happens because of inhibition of a non-target language .","code-switching","yes","code-switching"
"This is where the inhibitory control takes place : code-switching happens because of inhibition of a non-target language .","inhibition","yes","inhibition"
"This is where the inhibitory control takes place : code-switching happens because of inhibition of a non-target language .","a non-target language","yes","a non-target language"
"This is a top-down type of cognitive control .","This","yes","This"
"This is a top-down type of cognitive control .","a top-down type","yes","a top-down type"
"This is a top-down type of cognitive control .","cognitive control","yes","cognitive control"
"Switching costs were also found in language comprehension .","Switching costs","yes","Switching costs"
"Switching costs were also found in language comprehension .","language comprehension","yes","language comprehension"
"Switching costs were also found in language comprehension .","language comprehension","yes","language comprehension"
"Using the self-paced reading task paradigm they showed that the switching cost from L1 to L2 was again larger than the switching cost from L2 to L1 .","the self-paced reading task paradigm","yes","the self-paced reading task paradigm"
"Using the self-paced reading task paradigm they showed that the switching cost from L1 to L2 was again larger than the switching cost from L2 to L1 .","they","yes","they"
"Using the self-paced reading task paradigm they showed that the switching cost from L1 to L2 was again larger than the switching cost from L2 to L1 .","the switching cost","yes","the switching cost"
"Using the self-paced reading task paradigm they showed that the switching cost from L1 to L2 was again larger than the switching cost from L2 to L1 .","L1","yes","L1"
"Using the self-paced reading task paradigm they showed that the switching cost from L1 to L2 was again larger than the switching cost from L2 to L1 .","L2","yes","L2"
"The switching cost appeared to be also associated with the proficiency in L2 .","The switching cost","yes","The switching cost"
"The switching cost appeared to be also associated with the proficiency in L2 .","the proficiency","yes","the proficiency"
"The switching cost appeared to be also associated with the proficiency in L2 .","L2","yes","L2"
"Code-switching has direct relation to the cognitive control and inhibitory control since it implies a certain balance/control over the usage of both L1 and L2 .","Code-switching","yes","Code-switching"
"Code-switching has direct relation to the cognitive control and inhibitory control since it implies a certain balance/control over the usage of both L1 and L2 .","Code-switching","yes","Code-switching"
"Code-switching has direct relation to the cognitive control and inhibitory control since it implies a certain balance/control over the usage of both L1 and L2 .","direct relation","no","a direct relation"
"Code-switching has direct relation to the cognitive control and inhibitory control since it implies a certain balance/control over the usage of both L1 and L2 .","the cognitive control","yes","the cognitive control"
"Code-switching has direct relation to the cognitive control and inhibitory control since it implies a certain balance/control over the usage of both L1 and L2 .","inhibitory control","yes","inhibitory control"
"Code-switching has direct relation to the cognitive control and inhibitory control since it implies a certain balance/control over the usage of both L1 and L2 .","it","yes","it"
"Code-switching has direct relation to the cognitive control and inhibitory control since it implies a certain balance/control over the usage of both L1 and L2 .","a certain balance/control","yes","a certain balance/control"
"Code-switching has direct relation to the cognitive control and inhibitory control since it implies a certain balance/control over the usage of both L1 and L2 .","the usage","yes","the usage"
"Code-switching has direct relation to the cognitive control and inhibitory control since it implies a certain balance/control over the usage of both L1 and L2 .","both L1","yes","both L1"
"Code-switching has direct relation to the cognitive control and inhibitory control since it implies a certain balance/control over the usage of both L1 and L2 .","L2","yes","L2"
"Recent studies find some evidence for the domain-general approach .","Recent studies","yes","Recent studies"
"Recent studies find some evidence for the domain-general approach .","some evidence","yes","some evidence"
"Recent studies find some evidence for the domain-general approach .","the domain-general approach","yes","the domain-general approach"
"1.3 Inhibitory control and conflict adaptation paradigm","1.3 Inhibitory control","yes","1.3 Inhibitory control"
"1.3 Inhibitory control and conflict adaptation paradigm","conflict adaptation paradigm","yes","conflict adaptation paradigm"
"1.3 Inhibitory control and conflict adaptation paradigm","conflict adaptation","yes","conflict adaptation"
"Inhibitory control was also shown to take place in auditory comprehension through the use of eye-tracking and negative priming paradigm .","Inhibitory control","yes","Inhibitory control"
"Inhibitory control was also shown to take place in auditory comprehension through the use of eye-tracking and negative priming paradigm .","eye-tracking and negative priming paradigm","no","an eye-tracking and negative priming paradigm"
"Inhibitory control was also shown to take place in auditory comprehension through the use of eye-tracking and negative priming paradigm .","place","yes","place"
"Inhibitory control was also shown to take place in auditory comprehension through the use of eye-tracking and negative priming paradigm .","auditory comprehension","yes","auditory comprehension"
"Inhibitory control was also shown to take place in auditory comprehension through the use of eye-tracking and negative priming paradigm .","the use","yes","the use"
"Inhibitory control was also shown to take place in auditory comprehension through the use of eye-tracking and negative priming paradigm .","eye-tracking and negative priming paradigm","yes","eye-tracking and negative priming paradigm"
"Inhibitory control is involved into the conflict adaptation paradigm since it is the mechanism that allows for the inhibition of the inconsistent stimuli .","Inhibitory control","yes","Inhibitory control"
"Inhibitory control is involved into the conflict adaptation paradigm since it is the mechanism that allows for the inhibition of the inconsistent stimuli .","the conflict adaptation paradigm","yes","the conflict adaptation paradigm"
"Inhibitory control is involved into the conflict adaptation paradigm since it is the mechanism that allows for the inhibition of the inconsistent stimuli .","it","yes","it"
"Inhibitory control is involved into the conflict adaptation paradigm since it is the mechanism that allows for the inhibition of the inconsistent stimuli .","the mechanism","yes","the mechanism"
"Inhibitory control is involved into the conflict adaptation paradigm since it is the mechanism that allows for the inhibition of the inconsistent stimuli .","that","yes","that"
"Inhibitory control is involved into the conflict adaptation paradigm since it is the mechanism that allows for the inhibition of the inconsistent stimuli .","the inhibition","yes","the inhibition"
"Inhibitory control is involved into the conflict adaptation paradigm since it is the mechanism that allows for the inhibition of the inconsistent stimuli .","the inconsistent stimuli","yes","the inconsistent stimuli"
"Reaction times were measured .","Reaction times","yes","Reaction times"
"The findings showed that the RT for incongruent Flanker trials were smaller after reading the sentence with the code-switch which was argued to be the evidence for conflict adaptation effect .","The findings","yes","The findings"
"The findings showed that the RT for incongruent Flanker trials were smaller after reading the sentence with the code-switch which was argued to be the evidence for conflict adaptation effect .","the RT","yes","the RT"
"The findings showed that the RT for incongruent Flanker trials were smaller after reading the sentence with the code-switch which was argued to be the evidence for conflict adaptation effect .","incongruent Flanker trials","yes","incongruent Flanker trials"
"The findings showed that the RT for incongruent Flanker trials were smaller after reading the sentence with the code-switch which was argued to be the evidence for conflict adaptation effect .","the sentence","yes","the sentence"
"The findings showed that the RT for incongruent Flanker trials were smaller after reading the sentence with the code-switch which was argued to be the evidence for conflict adaptation effect .","the code-switch","yes","the code-switch"
"The findings showed that the RT for incongruent Flanker trials were smaller after reading the sentence with the code-switch which was argued to be the evidence for conflict adaptation effect .","which","yes","which"
"The findings showed that the RT for incongruent Flanker trials were smaller after reading the sentence with the code-switch which was argued to be the evidence for conflict adaptation effect .","the evidence","yes","the evidence"
"The findings showed that the RT for incongruent Flanker trials were smaller after reading the sentence with the code-switch which was argued to be the evidence for conflict adaptation effect .","conflict adaptation effect","no","the conflict adaptation effect"
"Such conflicting evidence motivates further replications .","Such conflicting evidence","yes","Such conflicting evidence"
"Such conflicting evidence motivates further replications .","Such conflicting evidence","yes","Such conflicting evidence"
"Such conflicting evidence motivates further replications .","further replications","yes","further replications"
"Such conflicting evidence motivates further replications .","further replications","yes","further replications"
"Aczel et al. have also found only partial support for the domain generality of CSE .","Aczel et al","yes","Aczel et al"
"Aczel et al. have also found only partial support for the domain generality of CSE .","CSE","yes","CSE"
"Aczel et al. have also found only partial support for the domain generality of CSE .",".","yes","."
"Aczel et al. have also found only partial support for the domain generality of CSE .",".","yes","."
"Aczel et al. have also found only partial support for the domain generality of CSE .","only partial support","yes","only partial support"
"Aczel et al. have also found only partial support for the domain generality of CSE .","the domain generality","yes","the domain generality"
"Aczel et al. have also found only partial support for the domain generality of CSE .","CSE","yes","CSE"
"1.4 Neurophysiological studies of bilingualism","bilingualism","yes","bilingualism"
"There is quite a little research that specifically focuses on the neurophysiological studies of bilingualism .","quite a little research","yes","quite a little research"
"There is quite a little research that specifically focuses on the neurophysiological studies of bilingualism .","that","yes","that"
"There is quite a little research that specifically focuses on the neurophysiological studies of bilingualism .","the neurophysiological studies","yes","the neurophysiological studies"
"There is quite a little research that specifically focuses on the neurophysiological studies of bilingualism .","bilingualism","yes","bilingualism"
"Noort et al. in their review also indicate that the findings are controversial .","Noort et al","yes","Noort et al"
"Noort et al. in their review also indicate that the findings are controversial .","the findings","yes","the findings"
"Noort et al. in their review also indicate that the findings are controversial .","controversial","yes","controversial"
"Noort et al. in their review also indicate that the findings are controversial .","their review","yes","their review"
"Noort et al. in their review also indicate that the findings are controversial .","the findings","yes","the findings"
"ERP ( event-related potentials ) is one of such neurophysiological measures that is used within the research on bilingualism .","ERP ( event-related potentials","yes","ERP ( event-related potentials"
"ERP ( event-related potentials ) is one of such neurophysiological measures that is used within the research on bilingualism .","( event-related potentials","yes","( event-related potentials"
"ERP ( event-related potentials ) is one of such neurophysiological measures that is used within the research on bilingualism .","such neurophysiological measures","yes","such neurophysiological measures"
"ERP ( event-related potentials ) is one of such neurophysiological measures that is used within the research on bilingualism .","that","yes","that"
"ERP ( event-related potentials ) is one of such neurophysiological measures that is used within the research on bilingualism .","the research","yes","the research"
"ERP ( event-related potentials ) is one of such neurophysiological measures that is used within the research on bilingualism .","bilingualism","yes","bilingualism"
"As outlined in Bosma & Pablos the most common waves that are associated with code-switching are N400 that reflects the violation on the semantic level ; LAN that reflects the morphosyntactic processing ; P600 that reflects the violation on the level of sentence structure ; and finally P300 that reflects the cognitive interference .","Bosma","yes","Bosma"
"As outlined in Bosma & Pablos the most common waves that are associated with code-switching are N400 that reflects the violation on the semantic level ; LAN that reflects the morphosyntactic processing ; P600 that reflects the violation on the level of sentence structure ; and finally P300 that reflects the cognitive interference .","sentence structure","yes","sentence structure"
"As outlined in Bosma & Pablos the most common waves that are associated with code-switching are N400 that reflects the violation on the semantic level ; LAN that reflects the morphosyntactic processing ; P600 that reflects the violation on the level of sentence structure ; and finally P300 that reflects the cognitive interference .","N400","yes","N400"
"As outlined in Bosma & Pablos the most common waves that are associated with code-switching are N400 that reflects the violation on the semantic level ; LAN that reflects the morphosyntactic processing ; P600 that reflects the violation on the level of sentence structure ; and finally P300 that reflects the cognitive interference .","Pablos","yes","Pablos"
"As outlined in Bosma & Pablos the most common waves that are associated with code-switching are N400 that reflects the violation on the semantic level ; LAN that reflects the morphosyntactic processing ; P600 that reflects the violation on the level of sentence structure ; and finally P300 that reflects the cognitive interference .","the most common waves","yes","the most common waves"
"As outlined in Bosma & Pablos the most common waves that are associated with code-switching are N400 that reflects the violation on the semantic level ; LAN that reflects the morphosyntactic processing ; P600 that reflects the violation on the level of sentence structure ; and finally P300 that reflects the cognitive interference .","that","yes","that"
"As outlined in Bosma & Pablos the most common waves that are associated with code-switching are N400 that reflects the violation on the semantic level ; LAN that reflects the morphosyntactic processing ; P600 that reflects the violation on the level of sentence structure ; and finally P300 that reflects the cognitive interference .","code-switching","yes","code-switching"
"As outlined in Bosma & Pablos the most common waves that are associated with code-switching are N400 that reflects the violation on the semantic level ; LAN that reflects the morphosyntactic processing ; P600 that reflects the violation on the level of sentence structure ; and finally P300 that reflects the cognitive interference .","N400","yes","N400"
"As outlined in Bosma & Pablos the most common waves that are associated with code-switching are N400 that reflects the violation on the semantic level ; LAN that reflects the morphosyntactic processing ; P600 that reflects the violation on the level of sentence structure ; and finally P300 that reflects the cognitive interference .","the violation","yes","the violation"
"As outlined in Bosma & Pablos the most common waves that are associated with code-switching are N400 that reflects the violation on the semantic level ; LAN that reflects the morphosyntactic processing ; P600 that reflects the violation on the level of sentence structure ; and finally P300 that reflects the cognitive interference .","the semantic level","yes","the semantic level"
"As outlined in Bosma & Pablos the most common waves that are associated with code-switching are N400 that reflects the violation on the semantic level ; LAN that reflects the morphosyntactic processing ; P600 that reflects the violation on the level of sentence structure ; and finally P300 that reflects the cognitive interference .","LAN","yes","LAN"
"As outlined in Bosma & Pablos the most common waves that are associated with code-switching are N400 that reflects the violation on the semantic level ; LAN that reflects the morphosyntactic processing ; P600 that reflects the violation on the level of sentence structure ; and finally P300 that reflects the cognitive interference .","the morphosyntactic processing","yes","the morphosyntactic processing"
"As outlined in Bosma & Pablos the most common waves that are associated with code-switching are N400 that reflects the violation on the semantic level ; LAN that reflects the morphosyntactic processing ; P600 that reflects the violation on the level of sentence structure ; and finally P300 that reflects the cognitive interference .","P600","yes","P600"
"As outlined in Bosma & Pablos the most common waves that are associated with code-switching are N400 that reflects the violation on the semantic level ; LAN that reflects the morphosyntactic processing ; P600 that reflects the violation on the level of sentence structure ; and finally P300 that reflects the cognitive interference .","the level","yes","the level"
"As outlined in Bosma & Pablos the most common waves that are associated with code-switching are N400 that reflects the violation on the semantic level ; LAN that reflects the morphosyntactic processing ; P600 that reflects the violation on the level of sentence structure ; and finally P300 that reflects the cognitive interference .","sentence structure","yes","sentence structure"
"As outlined in Bosma & Pablos the most common waves that are associated with code-switching are N400 that reflects the violation on the semantic level ; LAN that reflects the morphosyntactic processing ; P600 that reflects the violation on the level of sentence structure ; and finally P300 that reflects the cognitive interference .","the cognitive interference","yes","the cognitive interference"
"P300 is the wave that is in the focus of attention for the current proposal since it is believed to have a direct relation to the cognitive control during reading the code-switched sentences .","P300","yes","P300"
"P300 is the wave that is in the focus of attention for the current proposal since it is believed to have a direct relation to the cognitive control during reading the code-switched sentences .","P300","yes","P300"
"P300 is the wave that is in the focus of attention for the current proposal since it is believed to have a direct relation to the cognitive control during reading the code-switched sentences .","the wave","yes","the wave"
"P300 is the wave that is in the focus of attention for the current proposal since it is believed to have a direct relation to the cognitive control during reading the code-switched sentences .","that","yes","that"
"P300 is the wave that is in the focus of attention for the current proposal since it is believed to have a direct relation to the cognitive control during reading the code-switched sentences .","the focus","yes","the focus"
"P300 is the wave that is in the focus of attention for the current proposal since it is believed to have a direct relation to the cognitive control during reading the code-switched sentences .","attention","yes","attention"
"P300 is the wave that is in the focus of attention for the current proposal since it is believed to have a direct relation to the cognitive control during reading the code-switched sentences .","the current proposal","yes","the current proposal"
"P300 is the wave that is in the focus of attention for the current proposal since it is believed to have a direct relation to the cognitive control during reading the code-switched sentences .","it","yes","it"
"P300 is the wave that is in the focus of attention for the current proposal since it is believed to have a direct relation to the cognitive control during reading the code-switched sentences .","a direct relation","yes","a direct relation"
"P300 is the wave that is in the focus of attention for the current proposal since it is believed to have a direct relation to the cognitive control during reading the code-switched sentences .","the cognitive control","no","cognitive control"
"P300 is the wave that is in the focus of attention for the current proposal since it is believed to have a direct relation to the cognitive control during reading the code-switched sentences .","the code-switched sentences","yes","the code-switched sentences"
"This change implied the addition of ERP measures to the reaction times .","This change","yes","This change"
"This change implied the addition of ERP measures to the reaction times .","the addition","yes","the addition"
"This change implied the addition of ERP measures to the reaction times .","ERP measures","yes","ERP measures"
"This change implied the addition of ERP measures to the reaction times .","the reaction times","yes","the reaction times"
"The significant conflict adaptation effect was only found due to ERP measures .","The significant conflict adaptation effect","yes","The significant conflict adaptation effect"
"The significant conflict adaptation effect was only found due to ERP measures .","ERP measures","yes","ERP measures"
"Differences in RT were not meaningful .","Differences","yes","Differences"
"Differences in RT were not meaningful .","RT","yes","RT"
"Differences in RT were not meaningful .","RT","yes","RT"
"Kaamaa et al. also found that ERP measures are able to capture the effect that is not detectable by the behavioral measures .","Kaamaa et al","yes","Kaamaa et al"
"Kaamaa et al. also found that ERP measures are able to capture the effect that is not detectable by the behavioral measures .","ERP measures","yes","ERP measures"
"Kaâamaâa et al. also found that ERP measures are able to capture the effect that is not detectable by the behavioral measures .","the effect","yes","the effect"
"Kaamaa et al. also found that ERP measures are able to capture the effect that is not detectable by the behavioral measures .","that","yes","that"
"Kaamaa et al. also found that ERP measures are able to capture the effect that is not detectable by the behavioral measures .","the behavioral measures","yes","the behavioral measures"
"Jia conducted and fMRI study over the Chinese-English bilinguals .","Jia","yes","Jia"
"Jia conducted and fMRI study over the Chinese-English bilinguals .","Jia","yes","Jia"
"Jia conducted and fMRI study over the Chinese-English bilinguals .","fMRI study","no","a fMRI study"
"Jia conducted and fMRI study over the Chinese-English bilinguals .","the Chinese-English bilinguals","yes","the Chinese-English bilinguals"
"They had to perform the Simon task .","They","yes","They"
